,FIPS,STNAME,CTYNAME,YEAR,POPULATION
240,01031,Alabama,Coffee County,CENSUS2010,49948.0
241,01031,Alabama,Coffee County,ESTIMATESBASE2000,43639.0
242,01031,Alabama,Coffee County,ESTIMATESBASE2010,49952.0
243,01031,Alabama,Coffee County,POPESTIMATE2003,44315.0
244,01031,Alabama,Coffee County,POPESTIMATE2004,45053.0
245,01031,Alabama,Coffee County,POPESTIMATE2005,45604.0
246,01031,Alabama,Coffee County,POPESTIMATE2006,46228.0
247,01031,Alabama,Coffee County,POPESTIMATE2007,47458.0
248,01031,Alabama,Coffee County,POPESTIMATE2008,48516.0
249,01031,Alabama,Coffee County,POPESTIMATE2009,49440.0
250,01031,Alabama,Coffee County,POPESTIMATE2011,50435.0
251,01031,Alabama,Coffee County,POPESTIMATE2012,51136.0
252,01031,Alabama,Coffee County,POPESTIMATE2013,50677.0
253,01031,Alabama,Coffee County,POPESTIMATE2014,50655.0
254,01031,Alabama,Coffee County,POPESTIMATE2015,50952.0
255,01033,Alabama,Colbert County,CENSUS2010,54428.0
256,01033,Alabama,Colbert County,ESTIMATESBASE2000,54979.0
257,01033,Alabama,Colbert County,ESTIMATESBASE2010,54428.0
258,01033,Alabama,Colbert County,POPESTIMATE2003,54279.0
259,01033,Alabama,Colbert County,POPESTIMATE2004,54380.0
260,01033,Alabama,Colbert County,POPESTIMATE2005,54359.0
261,01033,Alabama,Colbert County,POPESTIMATE2006,54413.0
262,01033,Alabama,Colbert County,POPESTIMATE2007,54486.0
263,01033,Alabama,Colbert County,POPESTIMATE2008,54473.0
264,01033,Alabama,Colbert County,POPESTIMATE2009,54426.0
265,01033,Alabama,Colbert County,POPESTIMATE2011,54535.0
266,01033,Alabama,Colbert County,POPESTIMATE2012,54572.0
267,01033,Alabama,Colbert County,POPESTIMATE2013,54533.0
268,01033,Alabama,Colbert County,POPESTIMATE2014,54468.0
269,01033,Alabama,Colbert County,POPESTIMATE2015,54370.0
270,01035,Alabama,Conecuh County,CENSUS2010,13228.0
271,01035,Alabama,Conecuh County,ESTIMATESBASE2000,14077.0
272,01035,Alabama,Conecuh County,ESTIMATESBASE2010,13233.0
273,01035,Alabama,Conecuh County,POPESTIMATE2003,13585.0
274,01035,Alabama,Conecuh County,POPESTIMATE2004,13430.0
275,01035,Alabama,Conecuh County,POPESTIMATE2005,13421.0
276,01035,Alabama,Conecuh County,POPESTIMATE2006,13603.0
277,01035,Alabama,Conecuh County,POPESTIMATE2007,13441.0
278,01035,Alabama,Conecuh County,POPESTIMATE2008,13388.0
279,01035,Alabama,Conecuh County,POPESTIMATE2009,13274.0
280,01035,Alabama,Conecuh County,POPESTIMATE2011,13192.0
281,01035,Alabama,Conecuh County,POPESTIMATE2012,13044.0
282,01035,Alabama,Conecuh County,POPESTIMATE2013,12911.0
283,01035,Alabama,Conecuh County,POPESTIMATE2014,12679.0
284,01035,Alabama,Conecuh County,POPESTIMATE2015,12680.0
285,01037,Alabama,Coosa County,CENSUS2010,11539.0
286,01037,Alabama,Coosa County,ESTIMATESBASE2000,11842.0
287,01037,Alabama,Coosa County,ESTIMATESBASE2010,11758.0
288,01037,Alabama,Coosa County,POPESTIMATE2003,11732.0
289,01037,Alabama,Coosa County,POPESTIMATE2004,11560.0
