,STATE,COUNTY,YEAR,MME_Str
547,SC,GEORGETOWN,2009,29714.519475000772
548,SC,GEORGETOWN,2010,33359.62978500065
549,SC,GEORGETOWN,2011,35528.12285250081
550,SC,GEORGETOWN,2012,38794.011382500656
551,SC,GREENVILLE,2006,170978.88510505864
552,SC,GREENVILLE,2007,184858.63257876132
553,SC,GREENVILLE,2008,193324.0636398101
554,SC,GREENVILLE,2009,233849.91560562342
555,SC,GREENVILLE,2010,270902.8673491075
556,SC,GREENVILLE,2011,292083.8185590006
557,SC,GREENVILLE,2012,281677.84643658984
558,SC,GREENWOOD,2006,17714.553995400525
559,SC,GREENWOOD,2007,20490.74759995063
560,SC,GREENWOOD,2008,22463.917720813333
561,SC,GREENWOOD,2009,26707.452667500744
562,SC,GREENWOOD,2010,27224.020627725764
563,SC,GREENWOOD,2011,29199.44497136333
564,SC,GREENWOOD,2012,30461.344553851
565,SC,HAMPTON,2006,4365.575475000002
566,SC,HAMPTON,2007,4762.133191000023
567,SC,HAMPTON,2008,5467.2202600000355
568,SC,HAMPTON,2009,5968.318402500031
569,SC,HAMPTON,2010,6882.960322500064
570,SC,HAMPTON,2011,6591.982072500067
571,SC,HAMPTON,2012,6941.041252500052
572,SC,HORRY,2006,109992.04757384454
573,SC,HORRY,2007,125516.47700939735
574,SC,HORRY,2008,140777.2481746612
575,SC,HORRY,2009,168121.36947863697
576,SC,HORRY,2010,185604.01991772422
577,SC,HORRY,2011,192567.00495113697
578,SC,HORRY,2012,210963.84576065122
579,SC,JASPER,2006,3177.561579499984
580,SC,JASPER,2007,3998.836356499965
581,SC,JASPER,2008,3963.1476449999786
582,SC,JASPER,2009,4388.1073649999935
583,SC,JASPER,2010,5481.29520000004
584,SC,JASPER,2011,4995.552540000032
585,SC,JASPER,2012,5622.919260000068
586,SC,KERSHAW,2006,7119.743481000155
587,SC,KERSHAW,2007,8533.560495500195
588,SC,KERSHAW,2008,9850.368772587786
589,SC,KERSHAW,2009,11179.169328900305
590,SC,KERSHAW,2010,13208.262289312866
591,SC,KERSHAW,2011,17008.649055450307
592,SC,KERSHAW,2012,19459.49588681276
593,SC,LANCASTER,2006,13009.053286588041
594,SC,LANCASTER,2007,16289.542470813181
595,SC,LANCASTER,2008,19565.826813088526
596,SC,LANCASTER,2009,24311.74333136364
597,SC,LANCASTER,2010,27915.660453863715
598,SC,LANCASTER,2011,27357.370968863754
599,SC,LANCASTER,2012,30217.570417500956
600,SC,LAURENS,2006,19852.609346950263
601,SC,LAURENS,2007,20103.190660437725
602,SC,LAURENS,2008,21665.658542937697
603,SC,LAURENS,2009,23142.22255383771
604,SC,LAURENS,2010,29476.84105293748
605,SC,LAURENS,2011,25688.469439762554
606,SC,LAURENS,2012,27785.834824987433
607,SC,LEE,2006,2789.509610500003
608,SC,LEE,2007,3378.8775905000048
609,SC,LEE,2008,3463.29002317501
610,SC,LEE,2009,3559.3161750000136
